City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Pisco,PE,2022-07-26 00:19:56,-13.7,-76.2167,60.85,88,20,11.5
262,Pucara,PE,2022-07-26 00:19:56,-15.9803,-71.4606,32.13,42,63,2.82
263,Mount Gambier,AU,2022-07-26 00:18:16,-37.8333,140.7667,51.69,60,81,14.2
264,Faya,SA,2022-07-26 00:19:57,18.3851,42.4509,63.12,56,100,6.15
265,Dibrugarh,IN,2022-07-26 00:19:57,27.4833,94.9,77.05,100,100,3.44
266,Hithadhoo,MV,2022-07-26 00:19:58,-0.6,73.0833,82.42,76,19,12.41
267,Andenes,NO,2022-07-26 00:19:58,69.3143,16.1194,55.38,94,100,3.44
268,Loandjili,CG,2022-07-26 00:19:59,-4.7561,11.8578,70.41,92,39,3.4
269,Roebourne,AU,2022-07-26 00:20:00,-20.7833,117.1333,63.81,39,2,14.99
270,Palencia,ES,2022-07-26 00:20:00,42.4167,-4.5,62.8,84,3,14.18
271,Shasta Lake,US,2022-07-26 00:20:01,40.6804,-122.3708,107.76,13,14,7.0
272,Tual,ID,2022-07-26 00:20:01,-5.6667,132.75,79.52,84,52,21.36
273,Bolshaya Sosnova,RU,2022-07-26 00:20:02,57.6713,54.6029,62.38,93,30,4.88
274,Rio Gallegos,AR,2022-07-26 00:20:02,-51.6226,-69.2181,24.85,86,0,6.91
275,Chandler,US,2022-07-26 00:20:03,33.3062,-111.8412,101.07,37,0,9.22
276,Porto Velho,BR,2022-07-26 00:16:42,-8.7619,-63.9039,78.85,65,0,0.0
277,Ust-Nera,RU,2022-07-26 00:20:04,64.5667,143.2,73.67,38,15,4.7
278,Sukumo,JP,2022-07-26 00:20:04,32.9333,132.7333,86.11,66,4,1.95
279,Acarau,BR,2022-07-26 00:20:05,-2.8856,-40.12,77.97,75,73,14.25
280,San Juan,AR,2022-07-26 00:18:20,-31.5375,-68.5364,57.65,73,80,5.03
281,High Level,CA,2022-07-26 00:21:05,58.5169,-117.136,75.31,38,40,2.3
282,San Quintin,MX,2022-07-26 00:21:06,30.4833,-115.95,72.19,70,1,11.83
283,Hay River,CA,2022-07-26 00:17:30,60.8156,-115.7999,71.58,40,40,9.22
284,Talnakh,RU,2022-07-26 00:21:07,69.4865,88.3972,58.21,72,70,7.11
285,Chuy,UY,2022-07-26 00:21:08,-33.6971,-53.4616,57.54,97,100,7.27
286,Lorengau,PG,2022-07-26 00:21:08,-2.0226,147.2712,81.9,80,94,7.74
287,Pedasi,PA,2022-07-26 00:21:09,7.5333,-80.0333,75.07,84,100,3.76
288,Torbay,CA,2022-07-26 00:21:09,47.6666,-52.7314,70.39,89,100,21.85
289,Zhigansk,RU,2022-07-26 00:21:10,66.7697,123.3711,69.37,55,28,1.01
290,Henties Bay,NA,2022-07-26 00:21:10,-22.116,14.2845,54.37,94,34,4.99
291,Inuvik,CA,2022-07-26 00:21:11,68.3499,-133.7218,77.76,31,75,8.05
292,Port Hedland,AU,2022-07-26 00:21:11,-20.3167,118.5667,66.25,39,30,8.05
293,Callaway,US,2022-07-26 00:21:12,30.153,-85.5699,84.96,78,40,4.61
